datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:31:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:00,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:01,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:02,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:03,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:04,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:05,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:06,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:07,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:08,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:09,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:10,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:11,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:12,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:13,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:14,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:15,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:16,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:17,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:18,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:19,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:20,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:21,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:22,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:23,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:24,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:00,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:01,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:02,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:03,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:04,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:05,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:06,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:07,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:08,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:09,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:10,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:11,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:12,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:13,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:14,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:15,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:16,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:17,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:18,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:19,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:20,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:21,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:22,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:23,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:24,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:00,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:01,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:02,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:03,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:04,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:05,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:06,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:07,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:08,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:09,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:10,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:11,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:12,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:13,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:14,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:15,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:16,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:17,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:18,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:19,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:20,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:21,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:22,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:23,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:24,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:35:00,81.34,81.34,81.34,81.34,1,1,81.34
2020-03-30 09:35:01,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:02,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:03,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:04,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:05,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:06,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:07,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:08,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:09,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:10,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:11,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:12,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:13,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:14,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:15,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:16,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:17,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:18,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:19,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:20,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:21,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:22,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:23,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:24,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:25,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:26,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:27,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:28,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:29,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:30,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:31,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:32,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:33,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:34,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:35,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:36,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:37,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:38,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:39,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:40,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:41,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:42,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:43,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:44,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:45,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:46,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:47,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:48,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:49,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:50,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:51,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:52,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:53,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:54,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:55,79.87,79.87,79.87,79.87,1,1,79.87
2020-03-30 09:35:56,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:35:57,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:35:58,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:35:59,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:00,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:01,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:02,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:03,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:04,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:05,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:06,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:07,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:08,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:09,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:10,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:11,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:12,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:13,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:14,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:15,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:16,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:17,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:18,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:19,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:20,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:21,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:22,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:23,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:24,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:25,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:26,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:27,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:28,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:29,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:30,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:31,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:32,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:33,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:34,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:35,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:36,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:37,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:38,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:39,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:40,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:41,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:42,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:43,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:44,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:45,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:46,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:47,79.87,79.87,79.87,79.87,0,0,79.87
2020-03-30 09:36:48,81.44,81.44,80.51,80.75,8,8,81.052
2020-03-30 09:36:49,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:50,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:51,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:52,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:53,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:54,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:55,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:56,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:57,80.75,80.75,80.75,80.75,0,0,80.75
2020-03-30 09:36:58,80.47,80.49,80.47,80.49,3,3,80.483
2020-03-30 09:36:59,80.49,80.49,80.49,80.49,0,0,80.49
2020-03-30 09:37:00,80.45,80.45,80.45,80.45,20,2,80.45
2020-03-30 09:37:01,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:02,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:03,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:04,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:05,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:06,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:07,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:08,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:09,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:10,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:11,80.45,80.45,80.45,80.45,0,0,80.45
2020-03-30 09:37:12,80.21,80.21,80.15,80.15,3,3,80.19
2020-03-30 09:37:13,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:14,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:15,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:16,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:17,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:18,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:19,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:20,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:21,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:22,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:23,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:24,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:25,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:26,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:27,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:28,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:29,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:30,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:31,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:32,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:33,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:34,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:35,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:36,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:37,80.15,80.15,80.15,80.15,0,0,80.15
2020-03-30 09:37:38,79.84,79.84,79.82,79.82,2,2,79.83
2020-03-30 09:37:39,79.82,79.82,79.82,79.82,0,0,79.82
2020-03-30 09:37:40,79.82,79.82,79.82,79.82,0,0,79.82
2020-03-30 09:37:41,79.82,79.82,79.82,79.82,0,0,79.82
